section#,section,subsection,section_short,Question_ID2,question,model,cos_similarity
1.0,1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4.1-nano,0.5405198350645801
1.0,1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini,0.6612636292789063
1.0,1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,0.6848630120415412
1.0,1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5-mini,0.7421356632197427
1.0,1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5-nano,0.7210196722194442
1.0,1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5.4-mini,0.7026409072229498
1.0,1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5.4-nano,0.5215173607679133
1.0,1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,o3-mini,0.6906281139838333
1.0,1. Overview,1.2 Abstract,1. Overview,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-4.1-nano,0.40732852797806207
1.0,1. Overview,1.2 Abstract,1. Overview,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-4o-mini,0.40275322624514764
1.0,1. Overview,1.2 Abstract,1. Overview,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-4o-mini_temp0,0.44665551118611646
1.0,1. Overview,1.2 Abstract,1. Overview,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5-mini,0.3434995988740001
1.0,1. Overview,1.2 Abstract,1. Overview,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5-nano,0.4120653771095517
1.0,1. Overview,1.2 Abstract,1. Overview,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5.4-mini,0.4352289319418726
1.0,1. Overview,1.2 Abstract,1. Overview,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5.4-nano,0.4510756017504911
1.0,1. Overview,1.2 Abstract,1. Overview,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",o3-mini,0.48184868665425434
1.0,1. Overview,1.2 Abstract,1. Overview,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-4.1-nano,0.8845563328366028
1.0,1. Overview,1.2 Abstract,1. Overview,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-4o-mini,0.8608830005474524
1.0,1. Overview,1.2 Abstract,1. Overview,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-4o-mini_temp0,0.8458575401606356
1.0,1. Overview,1.2 Abstract,1. Overview,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5-mini,0.7895573546609598
1.0,1. Overview,1.2 Abstract,1. Overview,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5-nano,0.80018031740637
1.0,1. Overview,1.2 Abstract,1. Overview,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5.4-mini,0.8462913452340655
1.0,1. Overview,1.2 Abstract,1. Overview,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5.4-nano,0.8156824462930783
1.0,1. Overview,1.2 Abstract,1. Overview,4,Which test system and readout(s) are used? (4.1; 5.2),o3-mini,0.8571571445553422
1.0,1. Overview,1.2 Abstract,1. Overview,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-4.1-nano,0.7333401554406173
1.0,1. Overview,1.2 Abstract,1. Overview,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-4o-mini,0.6763506707157527
1.0,1. Overview,1.2 Abstract,1. Overview,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-4o-mini_temp0,0.6747849970230286
