,section,section_short,subsection,qID,question,doc_type,colour,mean_answer_given,std_answer_given
2,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,combined,blue,1.0,0.0
13,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,combined,green,1.0,0.0
24,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",combined,green,0.9375,0.24462302739504083
35,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),combined,green,1.0,0.0
46,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",combined,green,0.9791666666666666,0.14433756729740643
57,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),combined,green,0.7916666666666666,0.4104140790860576
68,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),combined,green,0.8541666666666666,0.35667395763741655
79,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),combined,green,0.6875,0.46841743521886675
90,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",combined,green,0.3541666666666667,0.4833211052500623
101,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,combined,red,0.14583333333333334,0.3566739576374165
112,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,combined,red,0.08333333333333333,0.2793101938654641
123,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",combined,red,0.20833333333333334,0.4104140790860576
134,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,combined,red,0.0625,0.2446230273950408
145,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",combined,red,0.20833333333333334,0.4104140790860576
156,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",combined,red,0.20833333333333334,0.4104140790860576
167,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",combined,blue,0.6382978723404256,0.48568785444140605
178,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,combined,blue,0.2916666666666667,0.4593396431851037
189,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",combined,blue,0.8125,0.39444277960558327
200,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",combined,blue,0.6875,0.4684174352188668
211,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,combined,blue,0.7083333333333334,0.4593396431851038
222,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,combined,blue,0.6458333333333334,0.4833211052500624
233,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",combined,blue,0.425531914893617,0.4997686791456115
244,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",combined,blue,0.8125,0.3944427796055832
255,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",combined,green,0.875,0.3342186823915959
266,3. Description of general features of the test system source,3. Test system source,3.2 Overview of cell source component(s),19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",combined,green,0.7708333333333334,0.4247443953937941
