Unnamed: 0,section,section_short,subsection,qID,question,model,colour,doc_type
0,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
1,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
2,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5-nano,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
3,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5.4-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
4,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5.4-nano,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
5,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,o3-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
6,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,gpt-4o-mini_temp0,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
7,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,gpt-5-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
8,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,gpt-5-nano,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
9,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,gpt-5.4-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
10,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,gpt-5.4-nano,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
11,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,o3-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
12,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-4o-mini_temp0,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
13,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
14,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5-nano,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
