,section,section_short,subsection,qID,question,model,colour,answer_given
0,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,blue,0.9620253164556962
1,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5-mini,blue,0.9746835443037974
2,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5-nano,blue,1.0
3,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5.4-mini,blue,0.9113924050632911
4,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5.4-nano,blue,0.6962025316455697
5,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,o3-mini,blue,1.0
6,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,gpt-4o-mini_temp0,green,1.0
7,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,gpt-5-mini,green,1.0
8,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,gpt-5-nano,green,1.0
9,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,gpt-5.4-mini,green,0.9620253164556962
10,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,gpt-5.4-nano,green,0.9873417721518988
11,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,o3-mini,green,1.0
12,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-4o-mini_temp0,green,0.8227848101265823
13,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5-mini,green,0.9367088607594937
14,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5-nano,green,0.9873417721518988
15,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5.4-mini,green,0.569620253164557
16,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5.4-nano,green,0.35443037974683544
17,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",o3-mini,green,1.0
18,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-4o-mini_temp0,green,0.8607594936708861
