,section,section_short,subsection,qID,question,doc_type,model,colour,mean_answer_given,std_answer_given
0,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,abstract,gpt-4o-mini_temp0,blue,0.8333333333333334,0.408248290463863
1,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,abstract,gpt-5-mini,blue,1.0,0.0
2,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,abstract,gpt-5-nano,blue,1.0,0.0
3,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,abstract,gpt-5.4-mini,blue,0.6666666666666666,0.5163977794943223
4,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,abstract,gpt-5.4-nano,blue,0.6666666666666666,0.5163977794943222
5,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,abstract,o3-mini,blue,1.0,0.0
6,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,article,gpt-4o-mini_temp0,blue,1.0,0.0
7,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,article,gpt-5-mini,blue,0.9285714285714286,0.2672612419124244
8,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,article,gpt-5-nano,blue,1.0,0.0
9,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,article,gpt-5.4-mini,blue,1.0,0.0
10,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,article,gpt-5.4-nano,blue,0.6428571428571429,0.4972451580988469
11,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,article,o3-mini,blue,1.0,0.0
12,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,combined,gpt-4o-mini_temp0,blue,1.0,0.0
13,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,combined,gpt-5-mini,blue,1.0,0.0
14,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,combined,gpt-5-nano,blue,1.0,0.0
